skills,education,years_experience,past_job_titles,certifications,required_skills,job_title,job_level,industry,skill_match_score,hired,performance_score
"Kubernetes, AWS, R, JavaScript, Project Management",Master's,6.4,DevOps Engineer,PMP,"Python, Machine Learning, R, JavaScript",UX Designer,Manager,Energy,0.5,1,6.3
"Data Analysis, NLP, Statistics, JavaScript",Master's,2.2,QA Engineer,AWS Certified,"NLP, Data Analysis",Backend Developer,Manager,Tech,1.0,1,7.0
"Tableau, Project Management",Bachelor's,0.2,"Frontend Developer, UX Designer, QA Engineer",Microsoft Certified,"Excel, Power BI, Computer Vision",Machine Learning Engineer,Manager,Finance,0.0,0,0.0
"R, Computer Vision, C++, GCP",Bachelor's,11.4,Full Stack Developer,PMP,"Computer Vision, Kubernetes, Cloud Computing",UX Designer,Manager,Government,0.3333333333333333,1,4.6
"Statistics, Java",Associate's,5.2,Machine Learning Engineer,Google Cloud,"Statistics, DevOps, Cloud Computing, Project Management",Machine Learning Engineer,Manager,Education,0.25,0,0.0
"Kubernetes, C++, NLP, JavaScript",Associate's,7.4,Project Manager,CompTIA,Excel,Data Engineer,Senior,Energy,0.0,0,0.0
Docker,Master's,4.6,Business Analyst,Scrum Master,JavaScript,Software Engineer,Senior,Retail,0.0,1,5.4
R,Associate's,5.7,"Cloud Architect, Data Scientist, Frontend Developer",CompTIA,Data Analysis,Product Manager,Mid,Finance,0.0,0,0.0
"Project Management, Computer Vision, Machine Learning, Statistics",High School,1.1,"Cloud Architect, Product Manager",AWS Certified,"Power BI, C++, Statistics, AWS",Product Manager,Junior,Finance,0.25,0,0.0
"Machine Learning, Kubernetes, Project Management, Tableau, Cloud Computing",PhD,5.6,Data Scientist,Google Cloud,"Project Management, DevOps, Deep Learning, Statistics",Full Stack Developer,Mid,Consulting,0.25,1,4.1
Statistics,Master's,6.9,"Full Stack Developer, Cloud Architect, Frontend Developer",AWS Certified,"Excel, Java, R, Power BI",Backend Developer,Lead,Retail,0.0,1,4.7
JavaScript,Master's,12.5,Data Scientist,CISSP,C++,QA Engineer,Senior,Healthcare,0.0,1,6.1
DevOps,Associate's,4.8,"Project Manager, Data Scientist",CompTIA,"Excel, Machine Learning",DevOps Engineer,Mid,Consulting,0.0,0,0.0
"Java, Excel, Cloud Computing",PhD,1.3,"Data Engineer, Software Engineer",CompTIA,"Data Analysis, Deep Learning, AWS",Frontend Developer,Director,Finance,0.0,0,0.0
"Machine Learning, Python, Tableau, Docker",PhD,11.4,"Frontend Developer, Data Engineer, Project Manager",CISSP,"Excel, JavaScript, Statistics",Full Stack Developer,Mid,Tech,0.0,0,0.0
"SQL, Power BI, Project Management, Python, Data Analysis",Bachelor's,5.6,"Product Manager, Data Engineer, Machine Learning Engineer",AWS Certified,"NLP, Power BI",Product Manager,Director,Manufacturing,0.5,1,6.5
"AWS, Power BI, SQL",Master's,13.7,Backend Developer,Cisco Certified,NLP,Cloud Architect,Senior,Education,0.0,1,4.0
NLP,Bachelor's,14.4,Business Analyst,Cisco Certified,C++,Backend Developer,Junior,Education,0.0,1,5.4
"GCP, R, NLP, Statistics, Tableau",Associate's,13.1,"DevOps Engineer, Cloud Architect, Product Manager",Google Cloud,R,DevOps Engineer,Mid,Government,1.0,1,8.0
"Data Analysis, Java, Kubernetes",PhD,3.4,Machine Learning Engineer,CompTIA,"Power BI, Data Analysis",Data Scientist,Manager,Government,0.5,1,5.8
"NLP, JavaScript, Cloud Computing, GCP, Machine Learning",Bachelor's,3.8,"Cloud Architect, Machine Learning Engineer",Google Cloud,"Deep Learning, Statistics",Frontend Developer,Mid,Consulting,0.0,0,0.0
"Cloud Computing, Deep Learning, Excel, Tableau, Docker",PhD,11.9,"DevOps Engineer, Cloud Architect",None,"Cloud Computing, Project Management, Machine Learning, NLP",Product Manager,Junior,Education,0.25,1,8.1
"Deep Learning, Azure, Docker, Power BI",Bachelor's,6.7,Frontend Developer,PMP,"Deep Learning, R, Computer Vision",UX Designer,Director,Consulting,0.3333333333333333,1,6.0
"Computer Vision, Excel, Kubernetes, Python, JavaScript",Bachelor's,4.5,"Business Analyst, Project Manager, Backend Developer",Cisco Certified,Java,Full Stack Developer,Lead,Manufacturing,0.0,0,0.0
"Kubernetes, Docker, AWS, Excel",PhD,4.4,DevOps Engineer,PMP,"Docker, R, Statistics",UX Designer,Manager,Education,0.3333333333333333,0,0.0
AWS,Associate's,8.7,"Data Engineer, Frontend Developer, Product Manager",PMP,"Excel, Power BI",Product Manager,Junior,Education,0.0,1,5.4
Data Analysis,High School,13.4,"Product Manager, Business Analyst, Project Manager",None,"DevOps, Data Analysis, JavaScript, SQL",Frontend Developer,Mid,Retail,0.25,1,5.4
"Data Analysis, Java, Project Management",High School,9.3,"Software Engineer, Data Scientist, Full Stack Developer",CISSP,"R, Python",Business Analyst,Lead,Education,0.0,0,0.0
"R, Computer Vision, DevOps",Master's,9.3,"Backend Developer, Full Stack Developer, UX Designer",PMP,Docker,Data Engineer,Manager,Healthcare,0.0,0,0.0
"Python, GCP",High School,11.2,"Project Manager, Data Engineer, Business Analyst",AWS Certified,DevOps,Project Manager,Director,Manufacturing,0.0,0,0.0
"Computer Vision, Python",PhD,11.4,Cloud Architect,AWS Certified,"Azure, Cloud Computing, NLP",Product Manager,Lead,Manufacturing,0.0,1,6.5
"AWS, Docker",Master's,13.6,"Full Stack Developer, Machine Learning Engineer",PMP,"Cloud Computing, Project Management",Machine Learning Engineer,Manager,Manufacturing,0.0,0,0.0
"Cloud Computing, AWS, Power BI, Data Analysis, Project Management",High School,2.4,Machine Learning Engineer,CISSP,Python,Software Engineer,Senior,Healthcare,0.0,0,0.0
R,High School,14.8,Cloud Architect,Microsoft Certified,"Computer Vision, Excel, Statistics",Cloud Architect,Mid,Transportation,0.0,0,0.0
"R, Statistics",Bachelor's,4.9,Cloud Architect,CompTIA,JavaScript,Backend Developer,Senior,Energy,0.0,0,0.0
"Excel, Kubernetes, Power BI",Bachelor's,4.2,QA Engineer,Google Cloud,"Python, Power BI, Cloud Computing",Software Engineer,Mid,Government,0.3333333333333333,1,5.6
"GCP, Java, Deep Learning, Docker",High School,7.6,Project Manager,Cisco Certified,"JavaScript, Power BI",UX Designer,Mid,Finance,0.0,0,0.0
"Data Analysis, SQL, Cloud Computing",Master's,4.0,"Business Analyst, Frontend Developer",Cisco Certified,Deep Learning,DevOps Engineer,Manager,Retail,0.0,0,0.0
"Statistics, Excel, Cloud Computing",PhD,3.5,Data Engineer,Microsoft Certified,"Java, SQL, Project Management",Machine Learning Engineer,Mid,Retail,0.0,1,2.5
"Deep Learning, JavaScript, Statistics, Data Analysis, NLP",High School,14.5,Software Engineer,None,"SQL, Tableau",Project Manager,Director,Manufacturing,0.0,0,0.0
"Computer Vision, Python",PhD,1.6,"Data Engineer, Data Scientist",None,R,Backend Developer,Director,Transportation,0.0,0,0.0
"R, C++, GCP, NLP",Master's,14.8,"QA Engineer, Full Stack Developer, Data Engineer",AWS Certified,DevOps,Backend Developer,Mid,Energy,0.0,1,5.9
"C++, Python",Associate's,9.3,Business Analyst,CISSP,"Java, Data Analysis, SQL, C++",Frontend Developer,Director,Consulting,0.25,0,0.0
"Project Management, Deep Learning, Cloud Computing",Master's,14.4,"Cloud Architect, DevOps Engineer, Frontend Developer",Cisco Certified,"Python, GCP",Cloud Architect,Senior,Transportation,0.0,1,6.8
Machine Learning,Associate's,13.5,Data Scientist,Cisco Certified,Deep Learning,Software Engineer,Senior,Transportation,0.0,0,0.0
"DevOps, Machine Learning",Bachelor's,9.7,"Business Analyst, Software Engineer, Data Scientist",Google Cloud,"R, Machine Learning, SQL, Kubernetes",Product Manager,Senior,Tech,0.25,1,7.4
R,PhD,8.8,DevOps Engineer,AWS Certified,GCP,Data Engineer,Mid,Consulting,0.0,0,0.0
"Tableau, R, GCP, Azure, Java",Bachelor's,14.9,"Data Engineer, Project Manager",AWS Certified,"Azure, Cloud Computing",Data Engineer,Mid,Transportation,0.5,1,6.2
"JavaScript, Deep Learning",PhD,7.7,"Data Scientist, Product Manager",None,"Data Analysis, JavaScript",Project Manager,Mid,Tech,0.5,1,3.1
"SQL, R, Excel, NLP, Python",Master's,2.7,Backend Developer,None,"Python, AWS",Project Manager,Senior,Tech,0.5,1,6.3
AWS,High School,14.9,"DevOps Engineer, QA Engineer",PMP,"GCP, AWS, Data Analysis",Machine Learning Engineer,Lead,Consulting,0.3333333333333333,1,5.4
"Machine Learning, R, Azure, Kubernetes, Excel",High School,4.9,"UX Designer, Machine Learning Engineer",Scrum Master,Computer Vision,Backend Developer,Manager,Consulting,0.0,0,0.0
"Project Management, AWS",Associate's,1.3,"DevOps Engineer, Cloud Architect",AWS Certified,"Kubernetes, Python, Docker, Excel",Full Stack Developer,Manager,Finance,0.0,0,0.0
"DevOps, Java",High School,10.8,"QA Engineer, Machine Learning Engineer, Data Engineer",None,"Data Analysis, Statistics, Cloud Computing",Machine Learning Engineer,Senior,Government,0.0,0,0.0
"Computer Vision, Docker, Java, C++",PhD,6.7,"Backend Developer, DevOps Engineer, Data Engineer",CompTIA,C++,Product Manager,Mid,Education,1.0,1,10.0
JavaScript,High School,5.8,"Product Manager, Business Analyst, Machine Learning Engineer",None,"R, Statistics, Deep Learning",Data Engineer,Lead,Energy,0.0,0,0.0
"Java, Statistics, Data Analysis, Python",Bachelor's,9.5,"Software Engineer, Project Manager, Data Engineer",CISSP,"Docker, Azure, SQL",Business Analyst,Mid,Transportation,0.0,0,0.0
"Kubernetes, Statistics, Azure, GCP, R",High School,0.8,"QA Engineer, Frontend Developer, UX Designer",None,"Java, Cloud Computing",DevOps Engineer,Manager,Energy,0.0,0,0.0
"Power BI, Java, GCP, NLP",Bachelor's,10.5,Frontend Developer,CompTIA,Azure,Full Stack Developer,Senior,Education,0.0,0,0.0
"C++, Computer Vision, JavaScript",Associate's,7.6,Machine Learning Engineer,Scrum Master,"Project Management, Statistics",Full Stack Developer,Lead,Consulting,0.0,0,0.0
JavaScript,Associate's,7.4,"Data Scientist, UX Designer",Scrum Master,"Azure, Statistics, GCP, Deep Learning",Frontend Developer,Mid,Consulting,0.0,0,0.0
"Power BI, SQL, Excel",Master's,13.5,Cloud Architect,Cisco Certified,"Project Management, Machine Learning, Java, DevOps",Data Scientist,Director,Energy,0.0,0,0.0
"Azure, JavaScript, Java, Excel",Master's,12.5,"Full Stack Developer, Product Manager, QA Engineer",None,"C++, Deep Learning",Business Analyst,Junior,Manufacturing,0.0,0,0.0
"Java, AWS, Docker, Azure, Cloud Computing",Master's,8.0,Cloud Architect,Scrum Master,"Python, NLP, Cloud Computing",Full Stack Developer,Senior,Education,0.3333333333333333,1,5.4
"Python, Cloud Computing",Bachelor's,8.7,"Full Stack Developer, UX Designer",CISSP,"Cloud Computing, GCP, SQL",Business Analyst,Senior,Tech,0.3333333333333333,0,0.0
"NLP, JavaScript",Master's,12.1,Full Stack Developer,AWS Certified,"Project Management, JavaScript, Computer Vision",Data Scientist,Manager,Education,0.3333333333333333,1,6.9
"Java, DevOps, Kubernetes",Associate's,6.2,Machine Learning Engineer,CompTIA,"Deep Learning, Project Management",Project Manager,Senior,Tech,0.0,0,0.0
"AWS, Python, Kubernetes, Cloud Computing, Deep Learning",High School,10.1,"Full Stack Developer, QA Engineer, Frontend Developer",CompTIA,"C++, Statistics, Python, Power BI",Software Engineer,Lead,Tech,0.25,0,0.0
"Cloud Computing, Project Management",Bachelor's,8.1,"Cloud Architect, Machine Learning Engineer, Full Stack Developer",CISSP,Kubernetes,Frontend Developer,Senior,Consulting,0.0,0,0.0
"Tableau, Java, Computer Vision, GCP",Master's,7.5,"Frontend Developer, Business Analyst",Cisco Certified,"R, Project Management, Machine Learning, JavaScript",QA Engineer,Junior,Retail,0.0,0,0.0
"Docker, NLP, Power BI, C++",Master's,14.8,"Cloud Architect, Software Engineer",PMP,Statistics,Machine Learning Engineer,Mid,Retail,0.0,1,7.8
"Java, GCP, NLP, Computer Vision",Associate's,0.3,"Data Engineer, Machine Learning Engineer, QA Engineer",Microsoft Certified,"SQL, R, Tableau",Cloud Architect,Lead,Transportation,0.0,0,0.0
"Docker, GCP",High School,6.2,"Data Engineer, Full Stack Developer, DevOps Engineer",PMP,"SQL, Java, Project Management, Computer Vision",Full Stack Developer,Manager,Consulting,0.0,1,5.6
"Data Analysis, Python, NLP",PhD,14.0,"Project Manager, Business Analyst, QA Engineer",PMP,"Java, GCP, Computer Vision",UX Designer,Director,Consulting,0.0,1,5.9
"Project Management, Deep Learning",High School,13.9,Data Scientist,Google Cloud,"Excel, C++",Full Stack Developer,Senior,Consulting,0.0,0,0.0
Statistics,Master's,11.2,"Full Stack Developer, Backend Developer, Business Analyst",CompTIA,Excel,UX Designer,Mid,Tech,0.0,0,0.0
"GCP, Kubernetes, DevOps",Master's,8.9,"Product Manager, Data Engineer",CompTIA,"Machine Learning, GCP, JavaScript, Java",DevOps Engineer,Mid,Energy,0.25,0,0.0
Statistics,High School,10.4,"QA Engineer, UX Designer, Project Manager",CompTIA,"Kubernetes, Power BI",Backend Developer,Junior,Government,0.0,1,6.8
"Computer Vision, Azure, Python, JavaScript",High School,3.8,"Project Manager, Backend Developer, Machine Learning Engineer",AWS Certified,Computer Vision,Backend Developer,Junior,Manufacturing,1.0,1,7.5
"R, Docker, AWS",Associate's,7.3,"UX Designer, Frontend Developer, Software Engineer",PMP,Computer Vision,Project Manager,Director,Healthcare,0.0,0,0.0
"Python, Computer Vision, Power BI, SQL, GCP",PhD,8.0,Product Manager,Microsoft Certified,"R, AWS, Kubernetes",Business Analyst,Lead,Healthcare,0.0,0,0.0
"AWS, Azure, DevOps, Statistics, R",Bachelor's,1.0,"Project Manager, Product Manager",Google Cloud,Docker,Data Engineer,Lead,Tech,0.0,0,0.0
"AWS, Project Management, Power BI, Python",Bachelor's,13.0,"QA Engineer, Machine Learning Engineer, Data Engineer",Microsoft Certified,"GCP, Docker, Java, NLP",Machine Learning Engineer,Mid,Government,0.0,1,5.7
"Kubernetes, R, Project Management, Python",PhD,6.9,QA Engineer,None,"NLP, Statistics, Power BI, Docker",Machine Learning Engineer,Senior,Consulting,0.0,0,0.0
Statistics,Associate's,13.5,"Full Stack Developer, Cloud Architect",AWS Certified,"Python, Excel, Deep Learning, DevOps",Backend Developer,Junior,Energy,0.0,0,0.0
"R, Java",High School,5.8,QA Engineer,Cisco Certified,"Data Analysis, Java, AWS, Statistics",Full Stack Developer,Lead,Government,0.25,0,0.0
NLP,Master's,6.1,Business Analyst,Scrum Master,"DevOps, JavaScript",Software Engineer,Mid,Consulting,0.0,0,0.0
"Deep Learning, Data Analysis",PhD,3.7,Machine Learning Engineer,None,"Excel, R, JavaScript, Computer Vision",Software Engineer,Manager,Education,0.0,0,0.0
"JavaScript, AWS, NLP, Power BI",Associate's,9.7,Backend Developer,CompTIA,"Cloud Computing, Computer Vision, Excel",Data Scientist,Mid,Education,0.0,1,4.7
"NLP, Docker",PhD,8.2,"Cloud Architect, Backend Developer, Product Manager",CISSP,"Azure, DevOps, Power BI, Statistics",Product Manager,Senior,Energy,0.0,1,5.6
"Computer Vision, DevOps, Deep Learning",Master's,13.7,"DevOps Engineer, QA Engineer, Frontend Developer",Microsoft Certified,"JavaScript, Cloud Computing, DevOps",Full Stack Developer,Director,Transportation,0.3333333333333333,1,5.4
"DevOps, Docker, Cloud Computing, SQL, Tableau",Bachelor's,6.4,"QA Engineer, Backend Developer",Scrum Master,Deep Learning,Product Manager,Junior,Finance,0.0,0,0.0
Data Analysis,High School,9.7,Cloud Architect,Google Cloud,"Docker, Statistics, C++",Product Manager,Manager,Finance,0.0,1,3.6
"JavaScript, Computer Vision, C++, Machine Learning",Associate's,10.6,"UX Designer, Backend Developer, Business Analyst",PMP,"Docker, R, GCP",Data Scientist,Junior,Finance,0.0,0,0.0
"Statistics, SQL, Excel, Kubernetes",Bachelor's,4.8,"Data Engineer, Full Stack Developer",Microsoft Certified,"NLP, Java",Cloud Architect,Director,Energy,0.0,0,0.0
"Project Management, Cloud Computing, Machine Learning, Data Analysis, Tableau",Master's,13.2,"DevOps Engineer, Frontend Developer",PMP,"Cloud Computing, Data Analysis",Product Manager,Mid,Tech,1.0,1,7.1
"R, DevOps, Statistics, Cloud Computing",PhD,5.7,"Data Scientist, Backend Developer, DevOps Engineer",Cisco Certified,"Excel, NLP, GCP, C++",Backend Developer,Junior,Consulting,0.0,0,0.0
AWS,Associate's,9.6,"Machine Learning Engineer, Product Manager, UX Designer",Scrum Master,"Excel, GCP",UX Designer,Junior,Education,0.0,0,0.0
Azure,Associate's,9.2,"Machine Learning Engineer, Software Engineer, Data Engineer",Cisco Certified,"AWS, Project Management, SQL, Python",Backend Developer,Manager,Healthcare,0.0,0,0.0
"Docker, Power BI, Machine Learning",Bachelor's,6.3,Business Analyst,CISSP,"Computer Vision, Excel, NLP, C++",Machine Learning Engineer,Senior,Energy,0.0,0,0.0
"Power BI, NLP, DevOps, Docker, Data Analysis",Bachelor's,2.8,"UX Designer, Business Analyst, DevOps Engineer",AWS Certified,"SQL, Statistics",Full Stack Developer,Manager,Finance,0.0,0,0.0
Kubernetes,Master's,8.9,Business Analyst,None,"Power BI, Machine Learning",Data Engineer,Mid,Government,0.0,1,4.8
"DevOps, Azure, Docker, Cloud Computing, Excel",Bachelor's,5.6,"Full Stack Developer, Backend Developer",Google Cloud,"Tableau, Power BI",Data Engineer,Manager,Finance,0.0,1,3.9
"NLP, AWS, Deep Learning, Tableau",Associate's,5.7,"Project Manager, UX Designer",CISSP,SQL,DevOps Engineer,Senior,Education,0.0,0,0.0
"C++, Machine Learning, Excel, Docker, Azure",High School,7.4,QA Engineer,CISSP,"DevOps, Docker, Cloud Computing, R",Backend Developer,Director,Education,0.25,0,0.0
"Power BI, Deep Learning, GCP, JavaScript, Java",Master's,10.2,Data Engineer,Cisco Certified,GCP,Backend Developer,Mid,Finance,1.0,1,5.3
"Docker, C++, AWS",Master's,10.9,"Data Scientist, DevOps Engineer, Backend Developer",PMP,"AWS, Tableau, Power BI",DevOps Engineer,Junior,Finance,0.3333333333333333,1,9.4
"Cloud Computing, Java, C++, Machine Learning",High School,6.4,"Data Engineer, Project Manager, Machine Learning Engineer",None,"SQL, Computer Vision",DevOps Engineer,Senior,Retail,0.0,0,0.0
"DevOps, C++, Java",Master's,1.8,DevOps Engineer,Microsoft Certified,"AWS, Deep Learning, NLP, Project Management",QA Engineer,Lead,Government,0.0,0,0.0
"DevOps, Python, Computer Vision",Master's,11.9,"Data Scientist, Product Manager, Full Stack Developer",Microsoft Certified,"C++, NLP, Tableau",DevOps Engineer,Manager,Retail,0.0,1,5.7
"C++, Python, Java, Deep Learning",Bachelor's,10.0,"Product Manager, Full Stack Developer, Frontend Developer",PMP,"R, SQL, Azure, AWS",Project Manager,Lead,Education,0.0,1,5.7
SQL,Master's,12.0,"Machine Learning Engineer, Cloud Architect",CISSP,Tableau,UX Designer,Senior,Transportation,0.0,1,6.1
GCP,Associate's,4.7,"Frontend Developer, Data Scientist, Project Manager",PMP,"Excel, Power BI",Data Engineer,Manager,Education,0.0,0,0.0
Azure,Bachelor's,13.6,"Data Engineer, Product Manager",CompTIA,AWS,UX Designer,Director,Consulting,0.0,0,0.0
"Machine Learning, Project Management, DevOps",PhD,3.9,Project Manager,CompTIA,"Data Analysis, GCP",Software Engineer,Mid,Government,0.0,0,0.0
C++,Associate's,4.3,QA Engineer,CISSP,"Machine Learning, Kubernetes, JavaScript, Azure",Data Scientist,Lead,Manufacturing,0.0,0,0.0
"Power BI, C++, Machine Learning, Excel, SQL",PhD,8.0,"UX Designer, Data Scientist",Microsoft Certified,"Machine Learning, Project Management",Frontend Developer,Lead,Energy,0.5,1,7.1
"R, Python, NLP, Machine Learning, Data Analysis",Bachelor's,15.0,"DevOps Engineer, Frontend Developer, Cloud Architect",CompTIA,Project Management,UX Designer,Manager,Tech,0.0,0,0.0
"R, NLP, Tableau",Associate's,3.0,"Frontend Developer, UX Designer, Software Engineer",None,"SQL, R, Data Analysis",QA Engineer,Mid,Education,0.3333333333333333,1,4.8
Statistics,Bachelor's,12.6,"Business Analyst, Software Engineer, DevOps Engineer",Google Cloud,Deep Learning,Cloud Architect,Lead,Transportation,0.0,1,7.5
"Machine Learning, Docker, Computer Vision, GCP",PhD,0.0,"Data Scientist, Project Manager, Cloud Architect",CompTIA,"Data Analysis, Computer Vision, AWS, Kubernetes",QA Engineer,Manager,Manufacturing,0.25,1,3.1
"Power BI, NLP, Excel, SQL",High School,3.6,"Product Manager, Data Engineer, UX Designer",Google Cloud,"Project Management, Computer Vision, Excel, JavaScript",QA Engineer,Director,Energy,0.25,0,0.0
"NLP, Java, Kubernetes, GCP",Master's,5.2,"Full Stack Developer, Software Engineer",Google Cloud,"R, Power BI",DevOps Engineer,Lead,Manufacturing,0.0,0,0.0
"Project Management, Cloud Computing",High School,9.7,"Machine Learning Engineer, Business Analyst",Scrum Master,"Data Analysis, Statistics",Business Analyst,Lead,Retail,0.0,1,4.4
"R, Java, NLP, Data Analysis, Machine Learning",High School,1.7,"Cloud Architect, Full Stack Developer, Business Analyst",AWS Certified,"Cloud Computing, Statistics",QA Engineer,Director,Manufacturing,0.0,0,0.0
"Tableau, Kubernetes, DevOps, Python",Bachelor's,1.9,Project Manager,Google Cloud,"Kubernetes, Docker, Python, Data Analysis",DevOps Engineer,Junior,Education,0.5,1,6.0
"GCP, Azure",Bachelor's,2.2,QA Engineer,Microsoft Certified,Kubernetes,Product Manager,Manager,Energy,0.0,0,0.0
"Excel, NLP, R",Master's,9.9,"Full Stack Developer, UX Designer",None,"Statistics, Computer Vision, Power BI",Data Engineer,Director,Transportation,0.0,0,0.0
"JavaScript, Power BI, Docker",High School,1.7,Backend Developer,Cisco Certified,"Azure, Computer Vision, Docker",Data Engineer,Director,Tech,0.3333333333333333,0,0.0
"Deep Learning, DevOps, JavaScript, C++, Java",Associate's,6.0,Business Analyst,None,"Azure, Java",Data Scientist,Lead,Finance,0.5,1,4.1
"Kubernetes, Cloud Computing",Bachelor's,2.4,"QA Engineer, Business Analyst, DevOps Engineer",CompTIA,"Python, DevOps, Deep Learning",Machine Learning Engineer,Mid,Consulting,0.0,0,0.0
"Tableau, Statistics, DevOps",High School,5.7,Data Scientist,CompTIA,"Machine Learning, Cloud Computing, Statistics",Cloud Architect,Lead,Energy,0.3333333333333333,0,0.0
"Azure, Power BI, Kubernetes, Tableau, JavaScript",PhD,10.7,"Data Engineer, Backend Developer",CompTIA,"Computer Vision, AWS",Business Analyst,Mid,Transportation,0.0,1,6.7
"Docker, Project Management, R, DevOps, Tableau",Bachelor's,4.2,"UX Designer, Cloud Architect, Data Scientist",Scrum Master,Tableau,Business Analyst,Mid,Manufacturing,1.0,1,6.5
"R, Docker",Master's,9.3,"Project Manager, Business Analyst",PMP,"Machine Learning, Excel, Java",Cloud Architect,Manager,Consulting,0.0,0,0.0
"Machine Learning, DevOps, JavaScript",High School,3.7,"Cloud Architect, QA Engineer",Microsoft Certified,Machine Learning,Frontend Developer,Senior,Tech,1.0,1,6.9
"C++, Statistics, AWS",Bachelor's,11.1,"Project Manager, Business Analyst",PMP,"Deep Learning, Statistics",Product Manager,Director,Government,0.5,1,7.2
"Deep Learning, JavaScript, Data Analysis, Kubernetes",Master's,11.7,"Business Analyst, DevOps Engineer",Scrum Master,"Kubernetes, Power BI, Java, Azure",Product Manager,Senior,Healthcare,0.25,1,6.6
"Tableau, JavaScript",Master's,4.7,Machine Learning Engineer,Scrum Master,C++,Project Manager,Director,Consulting,0.0,0,0.0
"Azure, AWS, Tableau, Statistics",PhD,0.4,"Cloud Architect, QA Engineer",Google Cloud,"NLP, C++, Power BI",Backend Developer,Manager,Manufacturing,0.0,0,0.0
"R, Python, Java, NLP, Power BI",Master's,1.9,"Backend Developer, Product Manager, Project Manager",Google Cloud,Data Analysis,UX Designer,Manager,Retail,0.0,0,0.0
"Statistics, Java, NLP",Bachelor's,7.4,"Product Manager, UX Designer, Machine Learning Engineer",PMP,Tableau,Data Scientist,Senior,Tech,0.0,1,3.9
"Kubernetes, Statistics, Computer Vision, C++",Bachelor's,5.7,"Data Scientist, Business Analyst",Microsoft Certified,"SQL, Computer Vision, AWS",Full Stack Developer,Senior,Government,0.3333333333333333,0,0.0
"Excel, Azure",Associate's,5.2,"DevOps Engineer, Frontend Developer",Google Cloud,"Statistics, R, Power BI",Project Manager,Junior,Education,0.0,0,0.0
AWS,High School,8.7,Data Engineer,Microsoft Certified,Docker,Frontend Developer,Director,Finance,0.0,0,0.0
"Project Management, AWS, JavaScript, R",High School,2.4,Software Engineer,PMP,"AWS, Java, Statistics, Kubernetes",Data Engineer,Lead,Finance,0.25,0,0.0
Python,PhD,6.9,"Business Analyst, Backend Developer",Microsoft Certified,"Computer Vision, Python, DevOps, Statistics",QA Engineer,Junior,Retail,0.25,1,6.6
"Azure, Power BI",High School,3.1,Full Stack Developer,Cisco Certified,"GCP, NLP, Java",UX Designer,Director,Transportation,0.0,0,0.0
"R, SQL, Machine Learning, Azure",Master's,14.7,Project Manager,CompTIA,"Deep Learning, C++",Project Manager,Director,Healthcare,0.0,1,4.1
NLP,Bachelor's,0.7,"Cloud Architect, Backend Developer",CompTIA,Machine Learning,UX Designer,Manager,Finance,0.0,0,0.0
Tableau,Master's,0.2,Data Engineer,AWS Certified,"AWS, Java, GCP, Statistics",Product Manager,Junior,Retail,0.0,0,0.0
"Excel, C++, R, Python",High School,8.5,"Frontend Developer, Business Analyst, Product Manager",AWS Certified,"Azure, JavaScript",UX Designer,Director,Transportation,0.0,0,0.0
"Machine Learning, GCP, SQL, Power BI",Associate's,0.9,UX Designer,Scrum Master,"Data Analysis, Cloud Computing, Computer Vision",Frontend Developer,Senior,Consulting,0.0,0,0.0
"SQL, Power BI, JavaScript, Computer Vision",High School,12.2,Product Manager,CompTIA,Deep Learning,Frontend Developer,Mid,Tech,0.0,1,6.4
"Data Analysis, Deep Learning, C++, Python",PhD,12.3,Frontend Developer,Microsoft Certified,"Java, Cloud Computing",Frontend Developer,Lead,Manufacturing,0.0,1,5.9
Python,Bachelor's,6.5,Frontend Developer,PMP,"Data Analysis, Java, C++, DevOps",Project Manager,Director,Energy,0.0,0,0.0
"Excel, Power BI, Docker",Master's,12.6,"QA Engineer, Machine Learning Engineer, Frontend Developer",CISSP,"Excel, Project Management, Kubernetes, NLP",QA Engineer,Director,Education,0.25,1,5.3
"AWS, Machine Learning, Computer Vision",High School,11.1,"Software Engineer, Full Stack Developer, Machine Learning Engineer",Scrum Master,"Power BI, Python, R",Data Engineer,Senior,Retail,0.0,0,0.0
"Docker, Cloud Computing, R, C++",Bachelor's,2.0,Project Manager,Cisco Certified,AWS,Frontend Developer,Junior,Government,0.0,0,0.0
"Kubernetes, NLP, Machine Learning, Tableau, Statistics",Master's,12.9,Data Engineer,Scrum Master,"AWS, Azure, Power BI, Project Management",Product Manager,Junior,Government,0.0,1,5.5
"DevOps, Java, Deep Learning, NLP",High School,13.1,"Data Scientist, UX Designer",Google Cloud,"AWS, Data Analysis, Java, Statistics",Product Manager,Lead,Healthcare,0.25,1,4.8
"Statistics, Tableau, NLP, Cloud Computing, Project Management",High School,4.8,"Software Engineer, Data Scientist, Project Manager",CompTIA,"Project Management, NLP, Computer Vision",DevOps Engineer,Lead,Government,0.6666666666666666,0,0.0
"Excel, Python, Cloud Computing, Docker, AWS",High School,11.6,Data Engineer,AWS Certified,DevOps,Full Stack Developer,Senior,Manufacturing,0.0,0,0.0
Data Analysis,PhD,13.5,"Machine Learning Engineer, Frontend Developer, Business Analyst",None,"NLP, DevOps, Cloud Computing",QA Engineer,Manager,Education,0.0,1,7.9
